expression,reading,eng_meaning,chi_meaning,level,guid
男性,だんせい,man; male,男人；男性,N4,r6Y+#Vxx9S
理由,りゆう,reason,原因,N4,P7}t{e2du#
生産,せいさんする,production; to produce,生產；生產,N4,pm+O;C4U:>
着物,きもの,kimono; Japanese traditional dress,和服；日本傳統服飾,N4,"A(ZdyF5k,T"
おもちゃ,おもちゃ,a toy,玩具,N4,Cf`[JaXL7u
暮れる,くれる,"to get dark, to come to an end",天黑了，結束了,N4,i-JL+Sl!mg
釣る,つる,to fish,釣魚,N4,"GWJ%g`TG,o"
～ちゃん,～ちゃん,suffix for familiar (female) person,表示熟悉的（女性）人的後綴,N4,r2m3z~%1s]
打つ,うつ,"to hit, to strike",擊打，打擊,N4,pBs^gx/@>a
あんな,あんな,"such, like that",比如那樣,N4,K%g**4JE#C
謝る,あやまる,to apologize,道歉,N4,C%+Y^2-4l[
昼間,ひるま,"daytime, during the day",白天，在白天,N4,p3^ge-^eJl
教育,きょういく,education,教育,N4,HW9*4`esHu
女性,じょせい,woman,女士,N4,E9gO2XIg*K
米,こめ,uncooked rice,生米,N4,"t,HSQDh#2"
邪魔,じゃま,"hindrance, intrusion",阻礙，侵入,N4,c]>yivA`ny
国際,こくさい,international,國際的,N4,f~g3tMo97^
隅,すみ,corner,角落,N4,eeOvjZ5zl.
伺う,うかがう,"humble form of 行く (いく), 聞く (きく) and 来る (くる)",行く (いく)、聞く (きく) 和來る (くる) 的簡寫形式,N4,Lmfy{2F]$A
再来週,さらいしゅう,the week after next,下下週,N4,kKHM?VM`7o
夢,ゆめ,a dream,一個夢,N4,lZn7[}J9+0
喉,のど,throat,喉,N4,c+C3t7I~.8
最近,さいきん,"recently, nowadays, in recent years, most recent, latest",最近，如今，近年來，最近，最新的,N4,e2RD]Myt9A
周り,まわり,surroundings,周圍環境,N4,fhT%f*K[Vx
歴史,れきし,history,歷史,N4,lQ}Sxv&`A!
不便,ふべん,inconvenience,不便,N4,C!<M[IO(?_
血,ち,blood,血,N4,0ihaC]*Q^
～続ける,～つづける,to continue doing ~,繼續這樣做~,N4,JHO_m/Gf)j
毛,け,"hair, fur",毛髮，皮毛,N4,gsy(C|!IEU
ひどい,ひどい,"terrible, awful, unfair, cruel",可怕的，糟糕的，不公平的，殘酷的,N4,M6<?LBefmj
例えば,たとえば,"for example, e.g.",例如，例如,N4,n/o*9@bFx6
中々,なかなか,"very, considerably, quite",非常、相當、相當,N4,@YWCVJq=)
随分,ずいぶん,extremely,極為,N4,NMl:D%#1zF
～やすい,～やすい,easy to do ~,很容易做到~,N4,exjp1w(~N7
押し入れ,おしいれ,closet,衣櫥,N4,Al&#S)GWr$
電灯,でんとう,electric light,電燈,N4,jodPP9K~W{
叱る,しかる,to scold,責罵,N4,LMzmk?%TI!
サンダル,サンダル,sandal,涼鞋,N4,nKx7m0Vnj8
びっくりする,びっくりする,to be surprised,感到驚訝,N4,Cr@7!m+n{m
うまい,うまい,delicious; skillful; fortunate,美味的；技藝精湛的；幸運的,N4,"C`4~Q!,KRn"
変える,かえる,"to change, to alter, to vary",改變，變更，變化,N4,x+80xLQg^-
講堂,こうどう,auditorium,禮堂,N4,ktg9A%:iyA
子,こ,child,孩子,N4,u.wVLBCC7[
沸かす,わかす,to boil,煮沸,N4,"d,.x::f0>g"
レジ,レジ,register,登記,N4,m?VOxpy?_K
しばらく,しばらく,little while,一小會兒,N4,w1JlkP{0C8
特に,とくに,particularly,特別,N4,Qf=L0@hP&F
空く,あく,"to open, to become empty (vacant)",打開，變得空（空置）,N4,Cg0$u|Ogik
計画,けいかくする,"plan, project, schedule",計劃、專案、進度安排,N4,s2fE.u9}xk
通り,とおり,"~ Street, ~ Avenue",街道，大道,N4,QBI<)8t#SN
下着,したぎ,underwear,內衣,N4,tFl(JKOvJ3
経済,けいざい,"economics, finance, economy",經濟學、金融學、經濟學,N4,rJHgD<t_i_
こう,こう,"like this, this way",像這樣，這樣,N4,Q%+*%s6}J9
是非,ぜひ,"certainly, by all means; without fail",當然，絕對可以；毫無疑問。,N4,kray(3KD^X
裏,うら,"reverse side, back",背面,N4,pQ2heE~587
為,ため,"good, advantage, in order to",好的，優勢，為了,N4,Fly+C7B(R*
おいでになる,おいでになる,(hon.) to be,（榮譽）,N4,ok-j:Fq]#X
変わる,かわる,"to change (v.i.), to be transformed, to vary",改變（動詞，不及物），被轉化，變化,N4,N?)pR_`l)L
以外,いがい,"other than, with the exception of, excepting",除了……之外，除了……之外,N4,io5npAJ^ZJ
済む,すむ,"to finish, to end",結束，結束,N4,eQV4%/qxB)
ハンバーグ,ハンバーグ,hamburger steak,漢堡牛排,N4,zs3r)kO4N*
市,し,city,城市,N4,rXed<x$qC(
引き出し,ひきだし,drawer,抽屜,N4,tGG+yHdqmL
遊び,あそび,play,玩,N4,"O8zue,3OP7"
支度,したくする,preparation,準備,N4,QsqU&|{INc
～始める,～はじめる,to start doing ~,開始做~,N4,BA.Jz]NK1.
見える,みえる,to be visible; -- polite verb meaning 来る (くる) --,可見; -- 禮貌動詞，意思是來る (くる) --,N4,cEonZn&vE$
十分,じゅうぶん,enough,足夠的,N4,vgB;={Nvrv
音,おと,"sound, note",聲音，音符,N4,y~nFfa-~?d
きっと,きっと,"surely, definitely, undoubtedly, certainly",當然，肯定，毫無疑問，肯定,N4,>[X6H]9HU
まず,まず,"first (of all), to start with",首先，首先,N4,b.U+m9N1DV
遠く,とおく,"far away, distant",遙遠的地方,N4,P.EKUt5=[B
大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと),大約;大多數情況下；一般來說;首先（與もともと相同）,N4,PoQwq(:pGi
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)",折斷，折疊，屈服；轉彎,N4,"C>N,+q5aTm"
正しい,ただしい,correct,正確的,N4,ynVxN8fR|I
輸入,ゆにゅう,import,進口,N4,c#?sbZfFpt
返事,へんじ,"reply, answer",回复，回答,N4,KqUGjMWU_#
都,と,metropolitan,大都會,N4,OcM{?!kX-7
産業,さんぎょう,industry,產業,N4,r<I`MSX5aQ
伝える,つたえる,"to convey (a message); to tell, to report",傳達（訊息）；講述，報告,N4,"z>dT,I0S3h"
お金持ち,かねもち; おかねもち,rich person,富人,N4,H?Z`hWb&65
説明,せつめい,explanation,解釋,N4,jzx*<D-6cG
島,しま,island,島,N4,AOZjwUDN5g
道具,どうぐ,tool,工具,N4,Me$$/AnEcv
滑る,すべる,"to slide, to slip",滑動，滑落,N4,nobw)6B/(-
それほど,それほど,to that degree; extent,達到那種程度；範圍,N4,tq|Owona;B
以上,いじょう,more than; this is all,不止如此；這就是全部,N4,kbfzlR:5u>
～まま,～まま,as it is,就是這樣,N4,j#zKPMXsT3
特急,とっきゅう,limited express (train faster than an express),特快列車（比特快列車速度更快的列車）,N4,sOgOxrQFHN
プレゼント,プレゼント,"present, gift",禮物,N4,FrsjD-2$(X
～(に) よると,～(に) よると,according to ~,根據~,N4,erz+S2{yL|
妻,つま,wife (humble),妻子（謙遜）,N4,pfL{;:Bm<O
帰り,かえり,"return, coming back",返回，回來,N4,A1{^9x(Ly$
具合,ぐあい,"condition, state, health",狀況、狀態、健康,N4,Ha+Fpz*nIy
堅; 硬; 固い,かたい,"solid, hard, firm",堅實、堅硬、穩固,N4,Qr]]OTGag7
駐車場,ちゅうしゃじょう,parking lot,停車場,N4,Q9!i44Gj}q
スーツ,スーツ,suit,套裝,N4,"M~,%txA#EO"
危険,きけん,"danger, risk, hazard",危險、風險、危害,N4,f#x=KD-)bk
髪,かみ,hair,頭髮,N4,roFwJrlfKR
天気予報,てんきよほう,weather forecast,天氣預報,N4,rN#1gCRiI^
彼女,かのじょ,girlfriend; she,女朋友；她,N4,xL3J@WlS{%
間,あいだ,"space, interval",空間，間隔,N4,MXEynMn6*x
卒業,そつぎょう,graduation,畢業,N4,yOSz]L8FJS
それで,それで,"and (conj.), thereupon, because of that",因此，由於,N4,rZ[:sRogcN
枝,えだ,"branch, twig",樹枝，嫩枝,N4,FAl}KCf:~8
専門,せんもん,major; speciality,專業；專長,N4,k;2({qLOGz
そろそろ,そろそろ,"gradually, soon",逐漸地，很快,N4,Q|>K44^N++
送る,おくる,"to send, to dispatch",發送，派送,N4,e1#_xMS<)@
あげる,あげる,to give,給予,N4,w6NP$s|k?>
騒ぐ,さわぐ,"to make noise, to clamor",製造噪音，喧鬧,N4,E-jyAQ+?xZ
尋ねる,たずねる,to inquire (same as 質問する),詢問（同質問する）,N4,B;}vj%?W%Z
放送,ほうそうする,broadcasting,廣播,N4,HT(fAub[.Z
政治,せいじ,politics,政治,N4,LbbPDli%;(
市民,しみん,citizen,國民,N4,KnKdz8[G7<
ファックス,ファックス,fax,傳真,N4,sG]9/N[j*>
負ける,まける,"to lose (a game) (v.i.), to be defeated",輸掉（比賽）（不及物動詞），被擊敗,N4,t-t/Tk%(SS
指輪,ゆびわ,(finger) ring,（手指）戒指,N4,By9Xq1v4J{
田舎,いなか,"rural, countryside",鄉村，田野,N4,qO;XWK^*$*
見つける,みつける,"to discover, to find (v.t.)",發現，找到（及物動詞）,N4,JSBDi~:Uul
高校生,こうこうせい,high school student,高中生,N4,s|lGtGG1fi
講義,こうぎ,a lecture,講座,N4,q(32?ls(B3
そんなに,そんなに,"so much, like that",很多，就像那樣,N4,pG^h}ycj3(
昼休み,ひるやすみ,"lunch break, noon recess",午休，中午休息,N4,lFVXC$-X%0
忘れ物,わすれもの,"lost article, something forgotten",遺失的物品，被遺忘的東西,N4,c>u.i{BBMW
下りる,おりる,"to get down, to go; come down",下去，走；下來,N4,"d9,VKd=RU="
腕,うで,arm (in reference to body),手臂（指身體）,N4,AiW}:.4@ze
訳,わけ,reason; explanation,原因；解釋,N4,usS4^zwn[>
承知,しょうちする,"consent, acceptance",同意、接受,N4,H:BcaGHLGe
日記,にっき,"diary, journal",日記，手帳,N4,"BMMWqQZ#[,"
高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school,高中；高中,N4,KKBE9#o7:F
似る,にる,"to resemble, to be similar",相似，類似,N4,i`_a~no4G!
～おわる,～おわる,to finish doing ~,完成這件事~,N4,qwf(Try}@4
暖房,だんぼう,heating,加熱,N4,dvn`p4e0P6
留守,るす,absence; not at home,缺席；不在家,N4,BK(gHI]ze3
割合,わりあい,"rate, ratio, percentage",比率、比例、百分比,N4,vGMwhqQc%{
寺,てら,Buddhist temple,佛教寺廟,N4,Hiagec7p~[
慣れる,なれる,to grow accustomed to,逐漸習慣,N4,m30?cbGY7<
普通,ふつう,common; usual,常見的；通常的,N4,s:f#izD=u2
手伝う,てつだう,to help,幫助,N4,s_Pi8jG!6%
なるほど,なるほど,I see; I now understand,我明白了；我現在明白了,N4,b:e%Ujd8JZ
くださる,くださる,"(hon.) to give, to confer",給予，授予,N4,sPmqOCO=cT
息子,むすこ,(humble) son,（謙遜的）兒子,N4,xE%1d@q~=0
お子さん,おこさん,(someone else's) child (polite),（別人的）孩子（禮貌用語）,N4,JfH~5*U.a_
会場,かいじょう,"venue, meeting place",場地，會議場所,N4,rYhMPU9-hG
笑う,わらう,"to laugh, to smile",笑，微笑,N4,y~ow$kbx8M
運ぶ,はこぶ,"to transport, to carry",運輸，攜帶,N4,v9DX2R5H-S
文学,ぶんがく,literature,文學,N4,"lUX,?(3;D]"
光,ひかり,light,光,N4,qZgkVt9uh<
お見舞い,おみまい,"calling on someone who is ill, visit",探望病人，探望,N4,vi}b>#%^FD
席,せき,a seat,座位,N4,frRhF)UU}W
～様,～さま,"Mr., Mrs., Ms.",先生、夫人、女士,N4,JidByAlQoq
ご存じ,ごぞんじ,"knowing, acquaintance",認識，熟人,N4,k8%o+}YbEd
下る,さがる,"to descend, to drop, to fall",下降，落下，墜落,N4,oX|5UGkIW2
字,じ,letter; character,字母；字符,N4,paD_A<.{(!
アジア,アジア,Asia,亞洲,N4,"Q{IM`lB,o7"
褒める,ほめる,to praise; to say nice things,讚揚；說好話,N4,!.H?[6|B.
空く,すく,"to be empty (in reference to people), to be less crowded",空曠（指人少），不那麼擁擠,N4,fg<?z[S^C:
あ,あ,Ah,啊,N4,qc]3W&Jc<m
最も,もっとも,most,最多,N4,TJ2Lm-F`{
合う,あう,"to fit, to match",合適，匹配,N4,OAIc&<q]o$
～代,～だい,~ age; period,~年齡；時期,N4,y4r%$Sls[D
最後,さいご,"last, end",最後，結束,N4,P^V7$JoB=L
値段,ねだん,price,價格,N4,E3[j8aN}XJ
退院,たいいんする,leaving hospital,出院,N4,E-^*b8-xhX
展覧会,てんらんかい,exhibition,展覽,N4,PN~#oqMNRx
久しぶり,ひさしぶり,it has been a long time; for the first time in a long time,已經過了很久；很久以來第一次,N4,"J`#Y!H,,<%"
カーテン,カーテン,curtain,窗簾,N4,NFW!?qkYyo
汽車,きしゃ,train (steam),火車（蒸氣）,N4,KH0a_3!CiN
遅れる,おくれる,to (be) become late,遲到,N4,rDxLnq^]Ph
見つかる,みつかる,"to be found (v.i.), to be discovered",被發現（動詞，不及物動詞），被發現,N4,b>m8LlfHOm
召し上がる,めしあがる,-- honorific form of 食べる (たべる) and 飲む (のむ) --,-- 食べる (たべる) 和飲む (のむ) 的敬語形式 --,N4,Fa=r1a7`zE
太る,ふとる,to gain weight,增重,N4,BN&?E=z3*H
注射,ちゅうしゃ,injection,注射,N4,lG`+>+=?Os
様,よう,"way, manner, kind",方式、舉止、種類,N4,t[MNQO-W6
～おき,～おき,after every ~,之後每個 ~,N4,ISv;l<*PQR
最初,さいしょ,"beginning, first",開始，首先,N4,uJfgbAk&PM
御～,ご～,honorable ~,光榮的,N4,b?YXE$9w]A
安心,あんしん,"peace of mind, relief",安心，釋然,N4,C^vt]hY6vW
直る,なおる,to be fixed,待修復,N4,wOi%P<vl?O
集める,あつめる,"to collect, to gather (v.t.), to assemble",收集，聚集（動詞），集結,N4,OW4zN$vq<h
直す,なおす,to correct (v.t.); to fix,糾正（動詞）；修復,N4,g9g}aXNY+w
続く,つづく,to be continued,待續,N4,"I,82^s2,ha"
先輩,せんぱい,senior members of a group,一個團體的資深成員,N4,iQ7T^oqMw-
約束,やくそく,"arrangement, appointment, promise",安排、約會、承諾,N4,gG#1gGEk5+
世話,せわする,looking after; to look after,照顧；照顧,N4,u{y[j%Z9W2
近所,きんじょ,neighborhood,鄰裡,N4,hCRlD3m.g(
将来,しょうらい,(in the) future; prospects,未來；前景,N4,y@QKAOSu|U
億,おく,hundred million,億,N4,iX-FN@Kj?p
数学,すうがく,mathematics,數學,N4,EO5o6*tgn9
文化,ぶんか,culture,文化,N4,z%ky|Q={QQ
払う,はらう,to pay,支付,N4,i~kIT)jn~k
習慣,しゅうかん,custom (in reference to culture),習俗（指文化習俗）,N4,v)1shr#hf=
焼ける,やける,"to burn, to be roasted",燒焦，被烤,N4,ws>!BOMOtu
君,きみ,you (informal for men),你（非正式，指男性）,N4,P|5<lpF.:2
冷える,ひえる,"to grow cold, to cool down",變冷，降溫,N4,np-S*rxEi@
点く,つく,"to be started, to be switched on",待啟動，待開啟,N4,s+|BHBlyTh
この間,このあいだ,"the other day, recently",前幾天，最近,N4,c(L)|Hc$oD
格好,かっこう,"appearance, manner, shape, form, posture",外貌、舉止、體態、形態、姿勢,N4,j4zgBW-)uI
かまう,,"to mind, to care about, to be concerned about",關心，在意，關注,N4,l%US3Ov|)s
続ける,つづける,"to continue, to keep up",繼續，跟上,N4,Dmf=K4sY#J
落す,おとす,"to drop, to lose",掉落，失去,N4,p0#ZhzpH-}
明日,あす,tomorrow,明天,N4,ITR}TzQQ.H
出発,しゅっぱつする,departure,離開,N4,hH4(GI}wN&
拝見,はいけんする,"(humble) (polite) seeing, look at",（謙遜的）（禮貌的）看見，看,N4,udBE2Kt)`=
割れる,われる,to break,打破,N4,G?t1hbgS`?
背中,せなか,back (of body),背部（身體）,N4,hg%3^*8ICS
新聞社,しんぶんしゃ,newspaper company,報社,N4,m^QI_$65r>
いじめる,いじめる,"to bully, to torment",霸凌，折磨,N4,gd&LFipme&
回る、回す,まわる、まわす,"to go around, to revolve",繞著，旋轉,N4,OXe]%sDun3
～君,～くん,"Mr. (junior) ~, master ~",先生（小）~，師傅~,N4,yqGP#fHaRj
おっしゃる,おっしゃる,-- honorific expression for いう --,-- いう 的敬語表達 --,N4,Bv6:t/{x_6
眠い,ねむい,"sleepy, drowsy",睏倦，昏昏欲睡,N4,g1)0|I<ucL
濡れる,ぬれる,to get wet,沾濕,N4,"n,@-PdsLi~"
倒れる,たおれる,"to collapse, to break down",崩潰，瓦解,N4,k|Od:&*w$$
スーパー (マーケット),スーパー (マーケット),supermarket,超市場,N4,DH3_3RD/FB
アクセサリー,アクセサリー,accessory,配件,N4,qvO-&Z#/h
考える,かんがえる,to think (about); to consider,思考；考慮,N4,"M,WdgwY$__"
向かう,むかう,"to face, to go towards",面對，走向,N4,sLFa<Dk5BC
自由,じゆう,freedom,自由,N4,lFnDZou.7G
仕方,しかた,way (of doing something),做某事的方式,N4,AM]yYl5eIO
首,くび,neck,脖子,N4,JPecz-JR}]
程,ほど,"degree, extent",程度，範圍,N4,p%bF6rAi^7
代わり,かわり,"substitute, replacement",替代品,N4,rZ#&qP#LLe
失敗,しっぱい,"failure, mistake",失敗，錯誤,N4,KT@^}h^l+<
工業,こうぎょう,(manufacturing) industry,（製造業）業,N4,kLOeCV|5Ly
移る,うつる,to move (from a house); to transfer (from a department); to shift,搬家（從房子）；調任（從一個部門）；轉移,N4,EwBssfbpE#
スーツケース,スーツケース,suitcase,行李箱,N4,z<X.?7YIM*
ひげ,ひげ,beard,鬍鬚,N4,OC&/lk8Sbt
研究室,けんきゅうしつ,the professor's office; laboratory,教授辦公室；實驗室,N4,C=g-AqnF6#
工場,こうじょう,factory,工廠,N4,zB*.:-`=4j
紹介,しょうかい,an introduction,引言,N4,dT=BbRaUvW
けれど; けれども,けれど; けれども,"but, although",但是，儘管,N4,mDzGR2QZWc
舟,ふね,"ship, boat",船，船,N4,"B,m2(2B05a"
動く,うごく,to move,移動,N4,F~}14d`>!6
～(に) ついて,～(に) ついて,"about, concerning",關於，涉及,N4,"s~K|,g+o=("
コンサート,コンサート,concert,音樂會,N4,c-Fil]C?m3
虫,むし,insect,昆蟲,N4,gn!@amuoHx
優しい,やさしい,"kind (person), gentle (person), easy (problem)",善良的人，溫柔的人，容易解決的問題,N4,gfbdYDbw~Y
コンピュータ; コンピューター,コンピュータ; コンピューター,computer,電腦,N4,i=KlAInS10
植える,うえる,to plant,種植,N4,M>_C}7!LEs
両方,りょうほう,"both sides, both parties",雙方，兩黨,N4,w+8nx7:F3*
汚れる,よごれる,to become dirty,變得骯髒,N4,yxTJ>uc(`r
水泳,すいえい,swimming,游泳,N4,p8o.J&l.y:
経験,けいけんする,experience,經驗,N4,f+zL`Y7buD
勝つ,かつ,to win,獲勝,N4,vi?&`a{.eH
砂,すな,sand,沙,N4,"v^,Hr#Vg!e"
警察,けいさつ,police; police station,警察；警察局,N4,Cqbq5lE;g6
取り替える,とりかえる,"to exchange, to replace",交換，替換,N4,fAPL%{p!|p
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush",匆忙，急忙，匆忙,N4,C+o)~b82kd
簡単,かんたん,simple,簡單的,N4,oG^L}3iGdF
参る,まいる,humble expression for 行く and 来る,行く和來る的謙虛表達,N4,dY_fG(MyTI
全然,ぜんぜん,"not at all; wholly, entirely",完全沒有；完全地，徹底地,N4,iJGs=<smMr
特別,とくべつ,special,特別的,N4,w*:rZ|MXHf
復習,ふくしゅう,"review (of lessons), revision",課程回顧，複習,N4,O40vK?08(g
間に合う,まにあう,to be in time for,及時趕到,N4,l3xWb^IMb
役に立つ,やくにたつ,"to be helpful, to be useful",樂於助人，有用,N4,Bodoj{2=?#
もうすぐ,もうすぐ,very soon; in a few moments; days,很快；片刻之後；幾天后,N4,cr{2h{c->
真中,まんなか,"middle, center",中間，中心,N4,R5Bu:`G<@
戻る,もどる,to return (v.i.); to come back,返回（動詞不及物）；回來,N4,g9-rOAl2<k
研究,けんきゅう,"study, research, investigation",研究、調查,N4,"r,JjBHrK!8"
ケーキ,ケーキ,cake,蛋糕,N4,iADgmRoi>q
草,くさ,grass,草,N4,CRSs:E15FF
込む,こむ,to be crowded,擁擠,N4,C3zU]</XPv
この頃,このごろ,"these days, nowadays",如今，現在,N4,F2eeT8$KYX
訪ねる,たずねる,to visit,參觀,N4,l{^{>8a$f>
下げる,さげる,to lower (v.t.); to hang,降低（動詞）；懸掛,N4,mC:cy`3AnB
花見,はなみ,cherry-blossom viewing,賞櫻,N4,ulvW_e[_zQ
途中,とちゅう,"on the way, midway",在途中，中途,N4,"qP[3T,bvTy"
入院,にゅういんする,hospitalization,住院治療,N4,iB?^g:!ksb
乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)",換乘（火車），轉乘（公車、火車等）,N4,Fu#~2.ajY<
別れる,わかれる,"to part from, to separate",分離，分開,N4,ova[fXA&]m
～町,～ちょう,the town of ~,小鎮 ~,N4,"mf84}],`T,"
安全,あんぜん,"safety, security",安全保障,N4,x>KuTt~>`B
看護婦,かんごふ,(female) nurse,（女）護士,N4,Mvt??7-[{v
見物,けんぶつ,sightseeing,觀光,N4,z/6V9+.-]v
相談,そうだんする,consultation,諮詢,N4,"h,~$1#Tmi]"
ガソリンスタンド,ガソリンスタンド,"gas station, service station",加油站，服務站,N4,NoACr|m()D
テニス,テニス,tennis,網球,N4,Bm|4X!fT~f
眠る,ねむる,to sleep,睡覺,N4,H2kKiMD`}M
上がる,あがる,"to rise, to go up",上升，向上,N4,cvVez@U$xD
翻訳,ほんやく,translation,翻譯,N4,q5u{4?O6M1
食事,しょくじする,meal,一頓飯,N4,K<!4=Wx(&)
お陰,おかげ,thanks or owing to,謝謝或由於,N4,y:GH2MLVp!
娘,むすめ,daughter (humble),女兒（謙遜的）,N4,D>Uc.0t(Pv
湯,ゆ,hot water,熱水,N4,qZk(zY%Dgg
競争,きょうそう,"competition, contest",比賽，競賽,N4,G%KC6%zs?X
会議,かいぎ,business meeting; conference,商務會議；會議,N4,O^:<Y%-[JT
湖,みずうみ,lake,湖,N4,pP3.DL~IX-
集まる,あつまる,"to gather (v.i.), to collect",收集（不及物動詞），收集,N4,dj|VykRm7g
～にくい,～にくい,difficult to do ~,很難做到~,N4,m7`CbDBUYU
生活,せいかつする,"living, life; to live",生活，生命；活著,N4,w`Fz_<nW/g
糸,いと,thread,線,N4,IpR-(E.>}{
関係,かんけい,"relation(ship), connection",關係，聯繫,N4,A95yiv24#q
ピアノ,ピアノ,piano,鋼琴,N4,l~WqV~#3P+
～目,～め,"number ~ sequence, ~nd; ~th",數字 ~ 序列，~nd；~th,N4,E~pd/+U#PU
番組,ばんぐみ,broadcast program,廣播節目,N4,A~P5;`m>{J
急,きゅう,"urgent, sudden; steep",緊急的，突然的；陡峭的,N4,tI;p#VWdsZ
棚,たな,"shelves, rack",貨架、置物架,N4,u[EB{0+w?@
木綿,もめん,cotton,棉布,N4,C1;C=MJBjh
輸出,ゆしゅつする,export,出口,N4,tgSB[Csamk
タイプ,タイプ,"type, style",類型、風格,N4,GKLj7~1p[w
すり,すり,pickpocket,扒手,N4,"LZR2]zL[V,"
嬉しい,うれしい,to be happy; to be glad,感到快樂；高興,N4,"d;<k5,X?rJ"
アルコール,アルコール,alcohol,酒精,N4,g3}Or~C[qU
ソフト,ソフト,soft; soft hat; software,軟的；軟帽；軟體,N4,D1{]Y{P=2b
神社,じんじゃ,Shinto shrine,神社,N4,"p-k,[(f(jy"
大分,だいぶ,"fairly well, to a large extent, considerably, pretty much",相當好，在很大程度上，相當不錯，幾乎,N4,F=YkB>ku|#
楽しみ,たのしみ,"pleasure, joy",快樂，喜悅,N4,bsnv=TM#%{
趣味,しゅみ,hobby; pastime,嗜好；消遣,N4,NkyAEs05(h
電報,でんぽう,telegram,電報,N4,d~+A[2;3vQ
家内,かない,(one's own) wife,（自己的）妻子,N4,JMHIMXzaOu
指,ゆび,finger,手指,N4,mOnb%$R^21
これから,これから,"from now on, after this",從現在開始，在此之後,N4,xyC3_bE-{d
たまに,たまに,occasionally,偶爾,N4,Op~e1|~DMP
社会,しゃかい,society,社會,N4,br3q(Z|Zbk
