expression,reading,eng_meaning,chi_meaning,level,guid
それでは,それでは,"in that situation, well then...",在這種情況下，嗯…,N5,"v[]T|jw&,["
～台,～だい,counter for vehicles; machines,車輛計數器；機器,N5,ztM0ejgNN~
大学,だいがく,college; university,學院；大學,N5,kHyc<WfmUQ
大使館,たいしかん,embassy,大使館,N5,"n?Lz{tQ,#T"
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,沒事的；不用擔心；一切都在掌控之中。,N5,nEIlSJfx#r
大好き,だいすき,"very like-able, like very much",非常討人喜歡，非常喜歡,N5,"AZ,CM~A,0E"
大切,たいせつ,important,重要的,N5,tu70?MYeL5
台所,だいどころ,kitchen,廚房,N5,bbB25MOf:$
大変,たいへん,"very; difficult, hard",非常；困難，難,N5,NIbD<|-[1y
高い,たかい,"tall, high; expensive",高大的；昂貴的,N5,veG&GbRNS(
～だけ,～だけ,"only ~, just ~, as ~",只有~，就~，就像~,N5,Lcbr*3r3b5
沢山,たくさん,"many, much",許多，很多,N5,v7m[:9zL*Y
タクシー,タクシー,taxi,計程車,N5,k8!n/<-@<9
出す,だす,to take (something) out; to hand in (something),取出（某物）；提交（某物）,N5,bt0(EU(<V_
～たち,～たち,plural suffix,複數後綴,N5,Opbd!87m@p
立つ,たつ,to stand up,站起來,N5,z+IsiLqO4K
たて,たて,"length, height",長度，高度,N5,L8wVt#MfRS
建物,たてもの,building,大樓,N5,mty2M&KETp
楽しい,たのしい,"enjoyable, fun",令人愉快的,N5,eD~FeZpJXC
頼む,たのむ,"to request, to ask (a favor)",請求，請求（幫忙）,N5,zjk+2%xAp%
たばこ,たばこ,"tobacco, cigarettes",煙草，香煙,N5,y<?W4xcfCN
多分,たぶん,"perhaps, probably, maybe",或許，可能，也許,N5,pNDK+)ARo
食べ物,たべもの,food,食物,N5,ODKLC3jdI>
食べる,たべる,to eat,吃,N5,c.+pIV(7xY
卵,たまご,egg,蛋,N5,c|(S)f_).K
誰,だれ,who,世界衛生組織,N5,gDqm6J+#/O
誰か,だれか,someone,某人,N5,K{JPl*mB/&
誕生日,たんじょうび,birthday,生日,N5,HV8#h@HniT
段々,だんだん,"gradually, by degrees",逐漸地，一步一步地,N5,O8dRR}CL>
小さい,ちいさい,"small, little",小的，小的,N5,LNu9:vy!G1
小さな,ちいさな,"small, little",小的，小的,N5,lc*~Cd~D@4
近い,ちかい,"near, close by, short",近的，附近的，短的,N5,"ttC.1]n,0|"
違う,ちがう,to be different; to differ; wrong,不同；有差異；錯誤,N5,N2Hj9)qK/l
近く,ちかく,nearby; in the neighborhood,附近；在附近,N5,y)Y*_^+)&<
地下鉄,ちかてつ,"underground train, subway",地鐵，地鐵,N5,MEsyrZ*cPc
地図,ちず,a map,地圖,N5,dhY*~Tx!fs
父,ちち,(my) father,（我的父親,N5,QKI#T(oT`t
茶色,ちゃいろ,brown,棕色的,N5,h<Se0W>cwB
茶碗,ちゃわん,rice bowl,飯碗,N5,p6c8>jnMm!
～中,～ちゅう,"during, while ~ing",在…期間，同時~ing,N5,J]E)zcwU%w
丁度,ちょうど,"just, right, exactly",正好，沒錯，完全正確,N5,K@fxH}$AC8
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",有點，勉強；只是有點，勉強,N5,j)OcO!#[%u
一日,ついたち,one day; first day of the month,一天；月初的第一天,N5,qK&D4iveg
使う,つかう,to use,使用,N5,B(Ve/L8[z5
疲れる,つかれる,to get (become) tired; to become fatigued,感到疲倦；感到乏力,N5,Oil7l6nt$n
次,つぎ,next,下一個,N5,IPls}w5_e-
着く,つく,"to arrive at, to reach",到達，抵達,N5,hc-pfPX>PQ
机,つくえ,desk,桌子,N5,G!9kEn9Y>c
作る,つくる,"to make, to create",製造，創造,N5,dlanfH_M#M
つける,つける,"to turn on (e.g., a light); to take",打開（例如，打開燈）；拿走,N5,o}z*=/A8o~
勤める,つとめる,to work (for),為…工作,N5,xKU$$gsQPF
つまらない,つまらない,"boring, dull; insignificant",無聊的，乏味的；微不足道的,N5,HL~a;+T`kY
冷たい,つめたい,"cold (things, people)",冷（事物、人）,N5,v8vDEW[6Rh
強い,つよい,"strong, powerful",強壯有力,N5,d[wde~o@q(
手,て,hand,手,N5,CAHcCP96BY
テープ,テープ,tape,磁帶,N5,"H|,pBh(;BD"
テープレコーダー,テープレコーダー,tape recorder,錄音機,N5,izd^3[1~Pe
テーブル,テーブル,table,桌子,N5,n-.M5OZr5!
出かける,でかける,to go out; to depart,出去；離開,N5,Fx}b2N2gun
手紙,てがみ,letter,信,N5,M#PC#!OTka
できる,できる,to be able to (to accomplish),能夠（完成）,N5,vB~NGv+*>H
出口,でぐち,an exit,出口,N5,sv__368x5>
テスト,テスト,test,測試,N5,Lhy<!{J6SG
では,では,"then, well, so",那麼，嗯，就是這樣。,N5,NY{|SsdlKz
デパート,デパート,(abbr.) department store,（縮寫）百貨公司,N5,rd.b%pP~B0
でも,でも,"but, however",但是，,N5,izQ~3T7Pp}
出る,でる,"to appear, to leave",出現，離開,N5,A23ctPX1n^
テレビ,テレビ,"television, TV",電視，電視,N5,pQXZQB+G|d
天気,てんき,weather,天氣,N5,vm1l+4c[9
電気,でんき,"electricity, (electric) light",電，（電）光,N5,HsW5jIb;SC
電車,でんしゃ,electric train,電力列車,N5,e?+NxLTOv
電話,でんわ,a telephone,電話,N5,"Q,geq&8^pJ"
戸,と,door (Japanese style),門（日式）,N5,o.K?EMap~;
～度,～ど,counter for occurrences; ~ degree; ~ point,出現次數計數器；~ 度；~ 點,N5,K9|0UgYaJ_
ドア,ドア,door (Western style),門（西式）,N5,l[rk}4@PVD
トイレ,トイレ,bathroom; toilet,浴室；廁所,N5,hv_ThfFsjj
どう,どう,"how, in what way",如何，以何種方式,N5,FZt/a?Mnu^
どうして,どうして,"why, for what reason",為什麼？出於什麼原因？,N5,s<(2V@f6ff
どうぞ,どうぞ,"please, kindly, by all means",請務必這樣做,N5,CXiSJodxs@
動物,どうぶつ,animal,動物,N5,Q~mPY;2upw
どうも,どうも,Thank you; somehow; no matter how hard one may try,謝謝你；無論如何；無論一個人多努力,N5,"Maz]_B`w,4"
十,(〜を) とお,ten (~),十（~）,N5,BjWdBTc)9!
遠い,とおい,"far (away), distant",遙遠的,N5,Jl9yYXnyJ<
十日,とおか,ten days; tenth day of the month,十天；該月的第十天,N5,g[CNT&GA2[
～時,～とき,at the time of ~,在~的時候,N5,bGLp[lZC.;
時々,ときどき,sometimes,有時,N5,s+W64X?THZ
時計,とけい,a watch; a clock,手錶；鐘,N5,u/fL<ne:Cb
どこ,どこ,"where, what place",哪裡，什麼地方,N5,h_Fa6?Ps@9
所,ところ,place,地方,N5,J`^6YmuA-0
年,とし,"year, age",年，年齡,N5,N=hcG9wG3;
図書館,としょかん,library,圖書館,N5,mp0X0~7Y`^
どちら,どちら,which (one) (way); where (polite),哪條路？ （禮貌用語）,N5,pW(ud@AhIx
どっち,どっち,"which one, which way",哪個，哪條路,N5,"PxI,t`JQ.N"
とても,とても,"very (much), greatly, exceedingly",非常，極大，極其,N5,t]2-1h#)V/
どなた,どなた,who,世界衛生組織,N5,Ll)TbcW$yb
隣,となり,"next to, next door to",旁邊，隔壁,N5,GigT2yQ[2E
どの,どの,which,哪個,N5,H+g1ci<Mvc
飛ぶ,とぶ,"to fly, to hop",飛翔，跳躍,N5,wLF5gUV](>
止まる,とまる,to come to a halt,停止,N5,Q+OrrzleWd
友達,ともだち,friend,朋友,N5,E)w$/p&I#O
土曜日,どようび,Saturday,週六,N5,Q%+.*M.E9m
鳥,とり,"chicken (lit., bird)",雞（字面意思：鳥）,N5,lc>;F##&%m
鶏肉,とりにく,chicken meat,雞肉,N5,dL<c9&FvJF
取る,とる,to take (a class); to get (a grade),參加（課程）；獲得（成績）,N5,bLpD3ABv2g
撮る,とる,"to take (a photo), to make (a film)",拍攝（照片），製作（影片）,N5,w7O/i=vkEI
どれ,どれ,which one,哪一個,N5,icGG-;4x}M
どんな,どんな,"what, what kind of",什麼？什麼樣的？,N5,PZ~[>!hd8m
ない,ない,"there isn't, doesn't have",沒有，不具備,N5,I08@<2+DPk
ナイフ,ナイフ,knife,刀,N5,domhg)5M&Q
中,なか,"inside, middle, among",內部，中間，​​在…之間,N5,rVjcK=lE15
長い,ながい,"long, lengthy",長，冗長的,N5,EHO`14{d-(
鳴く,なく,to make sound (animal),發出聲音（動物）,N5,"ivpv*G,Zm%"
無くす,なくす,to lose something,失去某物,N5,dteDI+R~`W
なぜ,なぜ,why (same as どうして),為什麼（與どうして相同）,N5,Cvs*YiG5BD
夏,なつ,summer,夏天,N5,"P,[b8Eh|6R"
夏休み,なつやすみ,summer vacation,暑假,N5,D=cA)b0@~(
～など,～など,et cetera,等等,N5,"e(]O3py,;2"
七つ,ななつ,seven things,七件事,N5,G25u:w`9Xu
何,なん; なに,what,什麼,N5,g<hW@mElnM
七日,なのか,seven days; seventh day (of the month),七天；每月第七天,N5,I|+G2AT>J]
名前,なまえ,name,姓名,N5,e6o_CEx8)b
習う,ならう,to learn,學習,N5,iV+xor)WZT
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)",排隊，排成一列（不及物動詞）,N5,nIHPO#>_}+
並べる,ならべる,to put (things) side by side; to line up,並排放置；排列,N5,n!B94UfoT6
なる,なる,to become,成為,N5,ukKTUxR2lk
何～,なん～,what sort of ~,什麼樣的~,N5,C!@pB0L*^>
二,に,two,二,N5,uzD!:&B)8|
にぎやか,にぎやか,"bustling, busy",熙熙攘攘，忙碌,N5,cIb<bg#^)L
肉,にく,meat,肉,N5,Go(gh2eIxK
西,にし,west,西方,N5,D!YA^58RBg
～日,～にち,"~ day of the month, for ~ days",每月某天，持續約幾天,N5,DbJ@Azg05L
日曜日,にちようび,Sunday,星期日,N5,XSi31p{-G
荷物,にもつ,luggage; baggage,行李；隨身行李,N5,MH72iI!<]q
ニュース,ニュース,news,訊息,N5,"iHtE.]1*,&"
庭,にわ,garden,花園,N5,f&>q3YTU?H
～人,～にん,counter for people,人流計數器,N5,FNnJ8yNPin
脱ぐ,ぬぐ,to take off (clothes),脫掉（衣服）,N5,cM_g)oAQIs
温い,ぬるい,lukewarm,溫,N5,"gfQAF/k(q,"
ネクタイ,ネクタイ,"tie, necktie",領帶,N5,AQO{m&veen
猫,ねこ,cat,貓,N5,x^.ijbc4Mz
寝る,ねる,to sleep; to go to sleep; to go to bed,睡覺；入睡；上床睡覺,N5,PAI>}YTMT!
～年,～ねん,~ years,~ 年,N5,"gYAXz}z6O,"
ノート,ノート,notebook,筆記本,N5,Go~p$PSFcm
登る,のぼる,to climb,攀爬,N5,unM=ha?S3d
飲み物,のみもの,"drink, beverage",飲料,N5,"k?X,84{EZ8"
飲む,のむ,to drink,喝,N5,C;cf;f4#r6
乗る,のる,"to get on, to ride in, to board",上車，乘坐，登車,N5,J~ykS_Bo0m
歯,は,tooth,齒,N5,J1;2F+tdr`
パーティー,パーティー,a party,聚會,N5,O}o_r|!syk
はい,はい,yes,是的,N5,Q.;:Q&Nmh}
～杯,～はい,counter for cupfuls,盃數計數器,N5,JTOz#Az0jW
灰皿,はいざら,ashtray,煙灰缸,N5,mAdBNp<Jp$
入る,はいる,"to enter, to contain, to hold",進入，包含，持有,N5,zZFQIc).TB
葉書,はがき,postcard,明信片,N5,jer83m7P=.
はく,はく,to put on (items below your waist),穿上（腰部以下的衣物）,N5,oRjJ`o{id)
箱,はこ,box,盒子,N5,D@BX&%Fydt
橋,はし,bridge,橋,N5,gMcz>SvPjQ
箸,はし,chopsticks,筷子,N5,vlWz[4OAnE
始まる,はじまる,(something) begins,（某事）開始,N5,g7#i$_:K%6
初め; 始め,はじめ,"beginning, start",開始,N5,Po{k$4o=i}
初めて,はじめて,for the first time,首次,N5,FM~Al0*F*3
走る,はしる,to run,運行,N5,"B)($ycG+,c"
バス,バス,bus; bath; bass,公共汽車；浴室；低音,N5,nF2zK|?mh~
バター,バター,butter,奶油,N5,bep_D~c3Ed
二十歳,はたち,20 years old,20歲,N5,"s,}HT(8Tzb"
働く,はたらく,to work,工作,N5,fCkP4x.Nco
八,はち,eight,八,N5,maEI.lHT3>
二十日,はつか,"twenty days, twentieth (day of the month)",二十天，二十日（每個月的第二十天）,N5,mmn=3%}>}J
花,はな,flower,花,N5,js_smr~4Ak
鼻,はな,nose,鼻子,N5,"Ft8Z7qnLG,"
話,はなし,"talk (chat), story",談話（聊天），故事,N5,A(<B}*ZSa_
話す,はなす,to speak,說話,N5,d]>`2&`x#1
母,はは,(my) mother,（我的母親,N5,I?S_Xs1PT;
早い,はやい,early,早期的,N5,J6yYVxGFN*
速い,はやい,"fast, quick",快速、迅速,N5,pfU@DZ;h3^
春,はる,spring,春天,N5,mlEwn=b[H<
貼る,はる,to post; to paste; to attach,發布；貼上；附加,N5,zI5j%aDV0.
晴れ,はれ,clear (sunny) weather,晴朗天氣,N5,nBD2D7_?kw
晴れる,はれる,to be sunny,陽光明媚,N5,ATM=j&::X;
半,はん,"half (e.g., にじはん | half-past two)",半（例如，にじはん | 兩點半）,N5,s%lRHov]`n
晩,ばん,evening,晚上,N5,hO?dVEN`5B
～番,～ばん,~st; ~th best,~st; ~th 最佳,N5,b/wgPDiVBg
パン,パン,bread,麵包,N5,FI2Z[9I*9Q
ハンカチ,ハンカチ,handkerchief,手帕,N5,yU4LCXkUnv
番号,ばんごう,"number, series of digits",數字，一系列數字,N5,c^xE))av$-
晩御飯,ばんごはん,"dinner, evening meal",晚餐，晚餐,N5,HihAr>C::*
半分,はんぶん,half,一半,N5,DN!/&cg9bL
東,ひがし,east,東方,N5,"pI3YEa2,3t"
～匹,～ひき,counter for small animals,小型動物計數器,N5,ivmKu+!yZ}
引く,ひく,"to pull, to draw; subtract",拉，抽；減去,N5,tVVM)ZI7wM
弾く,ひく,to play (a string instrument or piano),演奏（弦樂器或鋼琴）,N5,HK}b0#P-HS
低い,ひくい,"short, low",短，低,N5,BBr{:lP!;x
飛行機,ひこうき,airplane,飛機,N5,OUQ4o:]Va=
左,ひだり,left hand side,左側,N5,h_@t6d`1:*
人,ひと,"man, person",男人，人,N5,ya&#4:D}>{
一つ,ひとつ,one thing,一件事,N5,lMwiFE;gTW
一月,ひとつき,one month,一個月,N5,JU.k{Nz*{h
一人,ひとり,one person,一個人,N5,rOUMQ8LZ5<
暇,ひま,"free time, leisure",空閒時間，休閒,N5,urDxNZnrq<
百,ひゃく,hundred,百,N5,J;(UasY_=O
病院,びょういん,hospital,醫院,N5,<+#t;D=L-
病気,びょうき,illness; sickness,疾病；生病,N5,Ibs3I0!xB|
平仮名,ひらがな,hiragana,平假名,N5,k}y1F@5e8u
昼,ひる,"noon, daytime",中午，白天,N5,i8$:v@D8x1
昼御飯,ひるごはん,"lunch, midday meal",午餐，午餐,N5,JGK7M1P.PA
広い,ひろい,spacious; wide; broad,寬敞的；寬闊的；大,N5,nThxsh#3~a
フィルム,フィルム,film (roll of),膠卷,N5,w#JO*~D@<H
封筒,ふうとう,envelope,信封,N5,JaXU6BSc-h
プール,プール,swimming pool,游泳池,N5,J.!iKtAY)1
フォーク,フォーク,fork,叉,N5,Q#>HBX67;#
吹く,ふく,"to blow (wind, etc.)",吹（風等）,N5,mo@qiT7%d3
服,ふく,clothes,衣服,N5,G;N&<jI3Ep
二つ,ふたつ,two things,兩件事,N5,A@M*oG}Fjm
豚肉,ぶたにく,pork,豬肉,N5,N1fM*9;kPY
二人,ふたり,two people,兩個人,N5,yRF#3ntAGH
二日,ふつか,two days; second day of the month,兩天；該月的第二天,N5,dRYcz7jSL;
太い,ふとい,"fat, thick",肥厚,N5,LD`2@7dG9a
冬,ふゆ,winter,冬天,N5,reZ;<Y^{LL
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",降水，落下（例如，雨、雪等）,N5,q(<}4NV?U@
古い,ふるい,"old (in reference to objects, not people), aged, ancient",古老的（指物品，而非人），古老的，古代的,N5,gH<g@fkLje
～分,～ふん,~ minutes,約分鐘,N5,chUnU+#xr]
文章,ぶんしょう,"sentence, text",句子，文本,N5,F&}@z14/*V
ページ,ページ,a page,一頁,N5,jR*]a[JBx$
下手,へた,"unskillful, poor",不熟練的，差的,N5,zx]n<UpO/Q
ベッド,ベッド,bed,床,N5,mm(#F~5?W7
ペット,ペット,pet,寵物,N5,Gm:f8t8t/V
部屋,へや,a room,一個房間,N5,"cB,rGZ.;c."
辺,へん,"area, vicinity",區域、附近,N5,"v^uJ@o,r7C"
ペン,ペン,pen,筆,N5,PpbmxKp]%S
勉強,べんきょう (する),study,學習,N5,P|N-mC4itp
便利,べんり,"convenient, handy",方便，實用,N5,NSM1sxi#q3
帽子,ぼうし,hat; cap,帽子；帽,N5,whud$h6Xsa
ボールペン,ボールペン,ball-point pen,原子筆,N5,A1a57pRAi*
外,ほか,"other, the rest",其他，其餘部分,N5,q-Rsw+YG/*
ポケット,ポケット,pocket,口袋,N5,PrdL>hhb^[
欲しい,ほしい,"to want, in need of",想要，需要,N5,"IB/)D,[pe$"
ポスト,ポスト,"mailbox; post, position",信箱；郵筒，位置,N5,CSDW$^FNBN
細い,ほそい,"thin, slender, fine",纖細、苗條、精緻,N5,zm=f9J*i)W
ボタン,ボタン,button,按鈕,N5,o=Cnvf:%>b
ホテル,ホテル,hotel,飯店,N5,n#S=W;:k;`
本,ほん,book,書,N5,PgM`&0<&bX
～本,～ほん,counter for long cylindrical things,長圓柱形物體的計數器,N5,Aln2n5Y6m$
本棚,ほんだな,bookshelf,書架,N5,LlS7xyP)^9
本当,ほんとう,"real, true",真實，真的,N5,mp{CGAM3}E
～枚,～まい,counter for flat things,平面物品的計數器,N5,eZ7Lx)q}m
毎朝,まいあさ,every morning,每天早上,N5,FY8YY]~jH+
毎月,まいげつ; まいつき,"every month, monthly",每個月，每月,N5,x6m6aNH)Wj
毎週,まいしゅう,every week,每週,N5,Lp7~a9~`1G
毎日,まいにち,every day,每天,N5,"b}uYG),?~1"
毎年,まいねん; まいとし,"every year, yearly, annually",每年，每年，每年,N5,cLTCt({=p{
毎晩,まいばん,every night,每晚,N5,s&rZqJP=be
前,まえ,"before, in front",之前，在前面,N5,AcNx(A=]3O
～前,～まえ,in front of ~,在 ~ 前面,N5,Jh#_2I1KK<
曲る,まがる,"to turn, to bend",轉動，彎曲,N5,fZb*Dqk8+n
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",糟糕的（指食物），令人倒胃口的，難吃的（味道）,N5,y=A8n$:VZF
また,また,and; furthermore,而且；此外,N5,H#sUyG^B<2
まだ,まだ,"yet, still, besides",然而，除此之外,N5,xr/3DB/ghC
町,まち,town; city,城鎮；城市,N5,xztbV5AMZZ
待つ,まつ,to wait,等待,N5,N6<)T3m*1$
まっすぐ,まっすぐ,"straight (ahead), direct",直行（前方），直接,N5,o(%GCd@4cN
マッチ,マッチ,match,匹配,N5,r{cxPi6M{l
窓,まど,window,窗戶,N5,dZZ^@1iCkq
丸い; 円い,まるい,"round, circular",圓形的，圓的,N5,kXV&n*v-w~
万,まん,ten thousand,萬,N5,k%8Ts^<^Df
万年筆,まんねんひつ,fountain pen,鋼筆,N5,pjtI#>[G;I
磨く,みがく,to brush (teeth); to polish,刷牙；拋光,N5,f*XbBCL&y-
右,みぎ,right hand side,右側,N5,Dx]?1r0B)6
短い,みじかい,short (length),短（長度）,N5,CoDv|eMw1>
水,みず,water,水,N5,Psad>Q=[fe
店,みせ,"store, shop",商店，店鋪,N5,w{yPQLxrpZ
見せる,みせる,"to show, to display",顯示，展示,N5,u/XQDC4A&:
道,みち,"road, street; way, directions",道路，街道；方向,N5,g*1iadY2;L
三日,みっか,"three days, third day of the month",三天，本月第三天,N5,"BQ,4DuKr8>"
三つ,みっつ,three things,三件事,N5,E%f95v%koQ
緑,みどり,green,綠色的,N5,d@$Uu~dQl-
皆さん,みなさん,"all of you, everyone",你們所有人，各位,N5,xUxg44IBk/
南,みなみ,South,南,N5,tmB.Hd2Sk_
耳,みみ,ear,耳朵,N5,c2VG#0omOo
見る,みる,"to see, to look",去看，看,N5,LJ*9Zy3g--
みんな,みんな,"all, everyone, everybody",所有，每個人，所有人,N5,NO(9_g@4E)
六日,むいか,six days; sixth day of month,六天；該月的第六天,N5,cT@R(=%:PY
向こう,むこう,"beyond, over there",在那邊，那邊,N5,mQG@k1[%|C
難しい,むずかしい,difficult,難的,N5,cp|.gBg]*Y
六つ,むっつ,six things,六件事,N5,",[k`qyR3)"
村,むら,village,村莊,N5,INP.Ccu#He
目,め,eye(s),眼睛,N5,dhfW}%pIM+
メートル,メートル,meter,儀表,N5,BPMIO$2k{i
眼鏡,めがね,eye glasses,眼鏡,N5,OGc^3PJcd3
もう,もう,already; again; more,已經；再一次；更多,N5,C9[8>(KXKL
木曜日,もくようび,Thursday,週四,N5,k#-z20ZxXI
もしもし,もしもし,Hello? (used on the phone),你好？ （電話使用）,N5,nnhl#WnLYa
持つ,もつ,"to hold, to carry; to possess",持有，攜帶；擁有,N5,A&O@O/^cS;
もっと,もっと,more,更多的,N5,OqdI=b3^K`
物,もの,thing (concrete object),事物（具體物體）,N5,"z6=4|ALO,V"
門,もん,gate,門,N5,H&[yCKRvgq
問題,もんだい,a problem,問題,N5,Eh6&Bnk+Z%
～屋,～や,~ shop,~ 商店,N5,ht#2@^87+]
八百屋,やおや,greengrocer,蔬果店,N5,C[.TX0anRy
野菜,やさい,vegetable,蔬菜,N5,qVg2VfFKQ;
易しい,やさしい,"easy, plain, simple",簡單、樸素、簡單,N5,O&W|&R47Dm
安い,やすい,inexpensive; cheap (things),便宜的；廉價的（東西）,N5,ie=X%ZqpqO
休み,やすみ,holiday; day off; absence,假期；休息日；缺勤,N5,J*/c5_R!J=
休む,やすむ,"to rest, to have a break, to get time off",休息一下，放鬆放鬆，休假,N5,i~a&f>8]D[
八つ,やっつ,eight things,八件事,N5,F=`<QfuMn*
山,やま,mountain,山,N5,FM#``XMUDZ
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",做；給予（給寵物、父母、兄弟姊妹等）,N5,"ee,Y5GOGX?"
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",傍晚時分（通常是晚餐前），晚上,N5,wr(&N+9Gfn
夕飯,ゆうはん,"dinner, supper, evening meal",晚餐、宵夜、晚餐,N5,x@-+;z#Bdx
郵便局,ゆうびんきょく,post office,郵局,N5,E9^vm]j#7*
昨夜,ゆうべ,last night,昨晚,N5,h5wsUbx`&$
有名,ゆうめい,famous,著名的,N5,cV2lu-%dm7
雪,ゆき,snow,雪,N5,jr0utv~KvB
ゆっくりと,ゆっくりと,"slowly, at ease",緩慢而輕鬆,N5,w_ef65R9#}
八日,ようか,eight days; eighth day of the month,八天；該月的第八天,N5,Fd}WQ7nZj^
洋服,ようふく,Western-style clothes,西式服裝,N5,uv*)pIfBA|
よく,よく,"frequently, often (much); well, skillfully",經常，頻繁（很多）；很好，熟練地,N5,Fz[l>+!/Hl
横,よこ,beside; side; width,旁邊；側邊；寬度,N5,C?K**~xaVS
四日,よっか,four days; fourth day of the month,四天；該月的第四天,N5,s(2D4IDk2]
四つ,よっつ,four things,四件事,N5,BL9b_E4!L$
呼ぶ,よぶ,to call (one's name); to invite,呼喚（某人的名字）；邀請,N5,zV4mur-%tO
読む,よむ,to read,閱讀,N5,G8F?CvYLz|
夜,よる,"evening, night",傍晚，夜晚,N5,lj*phUSR[b
弱い,よわい,weak,虛弱的,N5,x)3Ur1<az7
来月,らいげつ,next month,下個月,N5,O/Q*jP:8c|
来週,らいしゅう,next week,下週,N5,h}c~#8X!n;
来年,らいねん,next year,明年,N5,"mvNiHK,T4b"
ラジオ,ラジオ,radio,收音機,N5,wyqA~/nA@+
ラジオカセ,ラジオカセ,radio cassette player,收音機磁帶播放器,N5,"eBPF6I+,&0"
りっぱ,りっぱ,"splendid, fine",極好的，精美的,N5,J%`%&)W1.O
留学生,りゅうがくせい,international student,國際學生,N5,n89-KYTMQf
両親,りょうしん,"parents (lit., both parents)",父母（字面意思，父母雙方）,N5,L.[<hVhM?f
料理,りょうり,cooking; cuisine,烹飪；美食,N5,G!~TK}MKdj
旅行,りょこう,"travel, trip",旅行，旅程,N5,KmCEi1#qL@
零,れい,"zero, nought",零，無,N5,rc1t]Q^qI(
冷蔵庫,れいぞうこ,refrigerator,冰箱,N5,j*=Z=Hk4*w
レコード,レコード,record,記錄,N5,xn:3qV.c32
レストラン,レストラン,restaurant,餐廳,N5,s3y4P[QtRd
練習,れんしゅう (する),(to) practice,練習,N5,KaUYN0c91a
廊下,ろうか,corridor,走廊,N5,AsH$#BLZ{M
六,ろく,six,六,N5,w>WY?cJ:VM
ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",襯衫（字面意思：白襯衫），商務襯衫,N5,x|nJIKNm*T
若い,わかい,young,年輕的,N5,xN9[eu+8aY
分かる,わかる,to understand,理解,N5,vF3#$3|-lu
忘れる,わすれる,to forget,忘記,N5,HW)xrzU[Z4
私,わたし,"I, myself",我，我自己,N5,I+Y7lySy.4
私,わたくし,"I (formal), myself, private affairs",我（正式地），我自己，私事,N5,m!I5:hHt<W
渡す,わたす,to hand (something) over (v.t.); to get across,交出（某物）；透過,N5,KvDHRUZ*r&
渡る,わたる,"to cross over, to go across",穿過，越過,N5,z9kLvI4/{d
悪い,わるい,"bad, sinful; inferior",壞的，有罪的；低劣的,N5,rxV$$v%QZ;
